waterlevel,frequency
15.2,0.1131702
15.3,0.1005654
15.4,0.087884739
15.5,0.077289566
15.6,0.067216396
15.7,0.057845965
15.8,0.049733866
15.9,0.041748479
16,0.034775663
16.1,0.029016647
16.2,0.024304695
16.3,0.020148421
16.4,0.016645148
16.5,0.013650425
16.6,0.011218123
16.7,0.008996321
16.8,0.006974619
16.9,0.005234065
17,0.003778933
17.1,0.002624518
17.2,0.001734368
17.3,0.001113254
17.4,0.000694781
17.5,0.000417404
17.6,0.00024612
17.7,0.000141697
17.8,8.20267E-05
17.9,4.65223E-05
18,2.81031E-05
18.1,1.76735E-05
18.2,1.09811E-05
18.3,6.8735E-06
